iter	Passed	Remaining
0	157	157813
1	159	79738
2	161	53560
3	165	41159
4	166	33137
5	167	27722
6	168	23853
7	168	20931
8	169	18666
9	170	16838
10	170	15352
11	171	14120
12	172	13068
13	172	12162
14	173	11392
15	174	10708
16	174	10112
17	175	9574
18	176	9088
19	177	8709
20	178	8317
21	179	7958
22	179	7628
23	180	7329
24	180	7051
25	181	6797
26	182	6562
27	182	6341
28	183	6136
29	184	5950
30	184	5769
31	185	5599
32	185	5440
33	186	5293
34	186	5150
35	187	5016
36	187	4891
37	188	4772
38	189	4658
39	189	4549
40	190	4446
41	190	4349
42	192	4284
43	194	4217
44	194	4135
45	195	4053
46	196	3975
47	196	3902
48	197	3829
49	197	3760
50	198	3695
51	199	3630
52	199	3570
53	200	3512
54	200	3453
55	201	3397
56	202	3343
57	202	3292
58	203	3242
59	203	3192
60	204	3144
61	204	3101
62	205	3058
63	206	3018
64	207	2982
65	208	2946
66	209	2910
67	210	2878
68	210	2842
69	211	2806
70	211	2772
71	212	2740
72	213	2708
73	213	2677
74	214	2647
75	215	2619
76	216	2590
77	216	2562
78	217	2534
79	217	2506
80	218	2479
81	219	2456
82	219	2427
83	220	2404
84	221	2381
85	222	2364
86	223	2344
87	224	2326
88	225	2304
89	225	2282
90	226	2261
91	227	2240
92	228	2224
93	228	2204
94	229	2184
95	230	2166
96	230	2147
97	231	2129
98	231	2110
99	232	2093
100	233	2076
101	234	2062
102	234	2046
103	235	2029
104	236	2013
105	237	1999
106	238	1993
107	239	1979
108	240	1967
109	241	1953
110	242	1939
111	242	1925
112	243	1912
113	244	1898
114	244	1884
115	245	1871
116	246	1857
117	247	1846
118	247	1835
119	248	1822
120	249	1811
121	249	1798
122	250	1787
123	251	1777
124	252	1770
125	254	1763
126	254	1751
127	255	1741
128	256	1731
129	257	1720
130	257	1709
131	258	1698
132	259	1688
133	259	1679
134	260	1668
135	261	1659
136	261	1649
137	262	1640
138	263	1630
139	263	1621
140	265	1614
141	265	1604
142	267	1603
143	268	1596
144	269	1589
145	270	1581
146	270	1572
147	272	1567
148	273	1560
149	273	1552
150	274	1543
151	275	1535
152	275	1527
153	276	1519
154	277	1511
155	278	1505
156	279	1498
157	279	1491
158	280	1485
159	282	1480
160	282	1471
161	283	1465
162	284	1459
163	284	1452
164	285	1446
165	286	1439
166	287	1432
167	287	1425
168	288	1418
169	289	1412
170	290	1406
171	290	1400
172	291	1394
173	292	1388
174	293	1382
175	294	1377
176	295	1372
177	296	1368
178	298	1367
179	299	1362
180	299	1357
181	300	1351
182	301	1345
183	302	1339
184	303	1335
185	303	1330
186	304	1324
187	305	1318
188	306	1313
189	306	1308
190	307	1303
191	308	1298
192	309	1293
193	310	1289
194	311	1287
195	312	1283
196	313	1278
197	314	1273
198	315	1268
199	316	1264
200	316	1259
201	317	1254
202	318	1249
203	319	1244
204	319	1239
205	320	1235
206	321	1232
207	322	1228
208	323	1224
209	324	1219
210	324	1214
211	325	1210
212	326	1207
213	327	1204
214	328	1200
215	329	1196
216	330	1191
217	330	1187
218	331	1182
219	332	1177
220	332	1173
221	333	1169
222	334	1165
223	335	1161
224	336	1157
225	336	1153
